City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
181,Port Moresby,PG,81.07,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
183,Pundaguitan,PH,80.24,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
191,Nosy Varika,MG,75.29,light rain,-20.5833,48.5333,Hotel Volazara
198,Biloela,AU,87.6,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
200,Sao Filipe,CV,70.92,overcast clouds,14.8961,-24.4956,Hotel Xaguate
202,Hirara,JP,66.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
203,Malmesbury,ZA,68.88,clear sky,-33.4608,18.7271,SuNel's Guest Rooms
204,Hithadhoo,MV,80.82,broken clouds,-0.6,73.0833,Scoop Guest House
206,Conceicao Do Almeida,BR,72.5,overcast clouds,-12.7794,-39.17,Pousada Caldas e Andrada
207,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
210,Farafangana,MG,75.11,light rain,-22.8167,47.8333,Miarina
219,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
220,Xico,MX,68.29,scattered clouds,19.2667,-98.9333,Betterware con Dany
221,Mount Gambier,AU,69.71,overcast clouds,-37.8333,140.7667,The Commodore
222,Omboue,GA,78.19,broken clouds,-1.5746,9.2618,Hotel Olako
223,Bhatkal,IN,76.32,clear sky,13.9667,74.5667,Nilawar Palace
225,Mayumba,GA,76.93,broken clouds,-3.432,10.6554,LIKWALE LODGE
226,Demba,CD,69.64,overcast clouds,-5.51,22.2667,Guest House Du Cinquantenaire
229,East London,ZA,69.85,broken clouds,-33.0153,27.9116,Tu Casa
230,Manaus,BR,75.7,light intensity drizzle,-3.1019,-60.025,Manaus Hotéis Millennium
233,Basco,PH,74.59,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
237,Sao Joao Da Barra,BR,76.26,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
241,Mackay,AU,84.69,scattered clouds,-21.15,149.2,International Lodge Motel
242,Whitianga,NZ,71.31,clear sky,-36.8333,175.7,Beachside Resort Whitianga
243,Itarema,BR,78.58,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
247,Richards Bay,ZA,69.76,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
248,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
250,Kieta,PG,80.1,light rain,-6.2167,155.6333,Uruna Bay Retreat
252,Iguape,BR,72.61,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
253,Rodrigues Alves,BR,74.44,moderate rain,-7.738,-72.6509,Pousada Aconchego
257,Namibe,AO,70.84,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
260,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
265,Dingle,PH,78.93,few clouds,10.9995,122.6711,SEGAYA PROPERTY
266,Ouesso,CG,70.21,broken clouds,1.6136,16.0517,ABENIE Hotel
268,Nakhon Sawan,TH,74.08,scattered clouds,15.7,100.0833,The Paradiso JK Design Hotel Nakhon Sawan.
270,Chuy,UY,66.6,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
271,Vilhena,BR,71.82,light rain,-12.7406,-60.1458,Hotel Mirage
274,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
275,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
278,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
280,Kibala,TD,73.72,broken clouds,9.1104,18.3463,hotel safari
281,Puerto Maldonado,PE,73.18,overcast clouds,-12.6,-69.1833,Wasai Hotel
284,Trincomalee,LK,77.94,scattered clouds,8.5711,81.2335,Welcombe Hotel
288,Georgetown,MY,81.9,mist,5.4112,100.3354,Cititel Penang
289,Aden,YE,76.21,broken clouds,12.7794,45.0367,Sama Emirate Hotel
294,Inhambane,MZ,76.66,broken clouds,-23.865,35.3833,Oceano
295,Moron,AR,78.03,broken clouds,-34.6534,-58.6198,Hotel Morón
297,Cabiraoan,PH,74.86,overcast clouds,18.3238,122.086,Bry and Kat Resort
298,Phan Thiet,VN,73.85,overcast clouds,10.9333,108.1,Hotel Saigon-PT
300,Lorengau,PG,84.33,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
304,Buala,SB,85.69,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
307,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
308,Namatanai,PG,83.32,light rain,-3.6667,152.4333,Seagulls Inn Namatani
312,Qui Nhon,VN,71.89,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
317,Paita,PE,75.76,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
321,Rio Grande,BR,71.94,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
323,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
324,Maputo,MZ,72.23,moderate rain,-25.9653,32.5892,Pestana Rovuma
327,Sola,VU,82.69,overcast clouds,-13.8833,167.55,Leumerus Bungalows
329,Prado,BR,78.51,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
330,Luanda,AO,77.99,overcast clouds,-8.8368,13.2343,Hotel Fórum
331,Cordoba,AR,74.43,clear sky,-31.4135,-64.1811,Hotel Sussex
334,Gizo,SB,84.0,light rain,-8.103,156.8419,Imagination Island
337,Hambantota,LK,77.79,broken clouds,6.1241,81.1185,Bungalow 63
340,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
344,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
346,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
