City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Florencia,IT,2022-01-26 18:53:33,43.7667,11.25,51.08,88,40,3.44
68,Kaitangata,NZ,2022-01-26 18:54:01,-46.2817,169.8464,53.92,75,39,9.69
69,Shakawe,BW,2022-01-26 18:54:03,-18.3667,21.85,69.12,82,100,6.2
70,Itaituba,BR,2022-01-26 18:51:11,-4.2761,-55.9836,84.36,74,75,9.22
71,Port Alfred,ZA,2022-01-26 18:54:05,-33.5906,26.891,73.0,87,97,10.87
72,Severo-Kurilsk,RU,2022-01-26 18:54:07,50.6789,156.125,25.59,75,95,19.33
73,Bluff,NZ,2022-01-26 18:54:10,-46.6,168.3333,52.81,68,72,16.62
74,Bethel,US,2022-01-26 18:54:12,41.3712,-73.414,27.48,40,0,1.01
75,Jibuti,DJ,2022-01-26 18:54:13,11.5,42.5,72.82,65,0,15.97
76,Cayenne,GF,2022-01-26 18:53:11,4.9333,-52.3333,82.44,83,75,8.05
77,Dikson,RU,2022-01-26 18:54:17,73.5069,80.5464,13.71,92,100,28.14
78,Adrar,MR,2022-01-26 18:54:19,20.5022,-10.0711,71.49,15,5,6.13
79,Half Moon Bay,US,2022-01-26 18:54:21,37.4636,-122.4286,61.74,77,0,4.61
80,Garmsar,IR,2022-01-26 18:54:22,35.2182,52.3409,48.36,33,88,6.55
81,Talnakh,RU,2022-01-26 18:54:23,69.4865,88.3972,2.21,97,100,16.78
82,Seoul,KR,2022-01-26 18:53:57,37.5683,126.9778,28.0,59,0,5.75
83,Maceio,BR,2022-01-26 18:54:10,-9.6658,-35.7353,89.04,62,40,3.44
84,Rawson,AR,2022-01-26 18:54:31,-43.3002,-65.1023,65.16,54,2,11.95
85,Northam,GB,2022-01-26 18:54:32,51.0333,-4.2167,48.02,86,92,10.49
86,Abu Zabad,SD,2022-01-26 18:54:34,12.35,29.25,69.58,17,100,18.75
87,Svetlogorsk,BY,2022-01-26 18:54:35,52.6333,29.7333,12.9,96,98,3.53
88,Atuona,PF,2022-01-26 18:55:36,-9.8,-139.0333,78.71,77,12,19.08
89,East London,ZA,2022-01-26 18:55:38,-33.0153,27.9116,74.34,94,75,8.05
90,Kodiak,US,2022-01-26 18:55:39,57.79,-152.4072,33.31,80,100,14.97
91,Farkhor,TJ,2022-01-26 18:55:40,37.4922,69.4036,40.08,45,0,7.38
92,Provideniya,RU,2022-01-26 18:55:41,64.3833,-173.3,-10.77,88,63,2.28
93,Bukama,CD,2022-01-26 18:55:42,-9.2,25.85,69.44,94,100,0.13
94,Salalah,OM,2022-01-26 18:55:43,17.0151,54.0924,67.86,61,0,3.85
95,Ewa Beach,US,2022-01-26 18:55:44,21.3156,-158.0072,76.69,80,100,0.0
96,Vila Velha,BR,2022-01-26 18:55:44,-20.3297,-40.2925,86.45,73,0,5.99
97,Carlagan,PH,2022-01-26 18:55:46,14.975,122.0456,76.91,91,94,8.3
98,Barrow,US,2022-01-26 18:55:47,71.2906,-156.7887,-18.02,98,100,15.99
99,Ko Samui,TH,2022-01-26 18:55:49,9.5357,99.9357,81.12,76,20,11.68
100,Jamestown,US,2022-01-26 18:51:00,42.097,-79.2353,20.52,59,100,7.0
101,Lebu,CL,2022-01-26 18:55:51,-37.6167,-73.65,66.92,65,0,11.52
102,Goderich,CA,2022-01-26 18:55:52,43.7501,-81.7165,18.91,53,100,2.3
103,Pueblo Nuevo,MX,2022-01-26 18:55:53,23.3833,-105.3833,64.45,25,99,6.58
104,Biltine,TD,2022-01-26 18:55:55,14.5333,20.9167,72.1,17,0,20.07
105,Hinche,HT,2022-01-26 18:55:57,19.15,-72.0167,77.88,29,0,6.51
106,Okitipupa,NG,2022-01-26 18:55:59,6.5047,4.7839,73.13,84,5,4.12
107,Margate,GB,2022-01-26 18:56:00,51.3813,1.3862,42.69,79,7,1.99
108,Provost,CA,2022-01-26 18:56:01,52.3501,-110.2683,35.02,87,100,16.51
109,Vao,NC,2022-01-26 18:56:02,-22.6667,167.4833,77.34,80,100,12.33
110,Voskresenskoye,RU,2022-01-26 18:56:04,56.8381,45.4317,5.9,97,99,3.42
111,Kutum,SD,2022-01-26 18:56:07,14.2,24.6667,60.28,23,99,15.97
112,Nahan,IN,2022-01-26 18:56:08,30.55,77.3,46.2,77,0,2.57
113,Matara,LK,2022-01-26 18:51:21,5.9485,80.5353,72.72,84,45,3.49
114,Batagay-Alyta,RU,2022-01-26 18:56:10,67.8006,130.4114,-0.36,95,100,2.55
115,Muros,ES,2022-01-26 18:56:12,42.7762,-9.0603,53.24,70,0,9.69
116,Saint George,US,2022-01-26 18:53:18,37.1041,-113.5841,47.35,40,0,1.99
117,Ribeira Grande,PT,2022-01-26 18:56:13,38.5167,-28.7,61.2,67,40,11.5
118,Atambua,ID,2022-01-26 18:56:14,-9.1061,124.8925,75.45,88,100,8.39
119,Horqueta,PY,2022-01-26 18:56:15,-23.3428,-57.0597,100.36,30,100,4.45
120,La Palma,US,2022-01-26 18:56:17,33.8464,-118.0467,70.75,51,78,1.99
121,Fortuna,US,2022-01-26 18:56:18,40.5982,-124.1573,45.52,87,0,0.0
122,Tuktoyaktuk,CA,2022-01-26 18:56:19,69.4541,-133.0374,1.4,78,100,19.57
123,Tuatapere,NZ,2022-01-26 18:56:21,-46.1333,167.6833,52.83,86,92,9.37
124,Goianira,BR,2022-01-26 18:56:22,-16.4961,-49.4264,82.22,71,99,7.18
125,Honiara,SB,2022-01-26 18:53:27,-9.4333,159.95,75.43,94,100,3.78
126,Brae,GB,2022-01-26 18:56:25,60.3964,-1.353,49.91,84,100,31.59
127,Merauke,ID,2022-01-26 18:55:05,-8.4667,140.3333,80.01,87,100,8.43
128,Praia Da Vitoria,PT,2022-01-26 18:56:28,38.7333,-27.0667,61.05,82,75,9.06
129,Olafsvik,IS,2022-01-26 18:56:30,64.8945,-23.7142,35.44,61,100,11.68
130,Cabo San Lucas,MX,2022-01-26 18:56:31,22.8909,-109.9124,77.5,49,1,1.99
131,Yellowknife,CA,2022-01-26 18:56:32,62.456,-114.3525,5.41,89,75,5.75
132,Belaya Kholunitsa,RU,2022-01-26 18:56:33,58.84,50.8528,8.37,97,98,3.53
133,Avarua,CK,2022-01-26 18:56:34,-21.2078,-159.775,80.65,83,20,11.5
134,Bahawalnagar,PK,2022-01-26 18:56:36,30.5508,73.3908,49.51,47,0,3.67
135,Harper,LR,2022-01-26 18:56:37,4.375,-7.7169,79.97,79,57,8.48
136,Tasiilaq,GL,2022-01-26 18:56:39,65.6145,-37.6368,8.02,67,100,2.08
137,Grand Gaube,MU,2022-01-26 18:57:40,-20.0064,57.6608,75.6,67,1,3.0
138,Klyuchi,RU,2022-01-26 18:57:41,52.2667,79.1667,-4.22,100,82,6.24
139,Opuwo,NA,2022-01-26 18:57:43,-18.0607,13.84,79.43,48,98,10.38
140,Moose Factory,CA,2022-01-26 18:57:44,51.2585,-80.6094,1.38,66,0,21.85
141,Cagliliog,PH,2022-01-26 18:57:46,13.9016,123.2913,75.87,91,66,4.74
142,Narsaq,GL,2022-01-26 18:57:47,60.9167,-46.05,4.55,87,25,5.5
143,Arcata,US,2022-01-26 18:57:48,40.8665,-124.0828,45.79,100,100,0.0
144,Callaguip,PH,2022-01-26 18:57:50,18.0714,120.4867,81.05,83,75,2.3
145,Khatanga,RU,2022-01-26 18:57:51,71.9667,102.5,-5.82,86,99,10.38
146,Mar Del Plata,AR,2022-01-26 18:54:30,-38.0023,-57.5575,68.02,75,0,25.99
147,Vidalia,US,2022-01-26 18:55:32,32.2177,-82.4135,63.75,45,0,8.05
148,Faya,SA,2022-01-26 18:57:55,18.3851,42.4509,55.51,83,34,7.18
149,Sabang,ID,2022-01-26 18:57:56,5.8933,95.3214,81.66,75,21,10.13
150,Sorland,NO,2022-01-26 18:57:58,67.667,12.6934,37.26,85,98,16.75
151,Itarema,BR,2022-01-26 18:58:00,-2.9248,-39.9167,82.74,68,100,16.73
152,Chernyshevskiy,RU,2022-01-26 18:58:01,63.0128,112.4714,-15.0,99,85,3.53
153,Prince Rupert,CA,2022-01-26 18:54:44,54.3161,-130.3201,37.09,100,0,0.0
154,Saposoa,PE,2022-01-26 18:58:03,-6.934,-76.7716,86.61,91,100,1.16
155,Davila,PH,2022-01-26 18:58:05,18.4726,120.5763,76.98,87,91,18.25
156,Santiago,CL,2022-01-26 18:57:28,-33.4569,-70.6483,91.29,32,0,16.11
157,Leningradskiy,RU,2022-01-26 18:58:06,69.3833,178.4167,-27.58,88,32,3.2
158,Arima,TT,2022-01-26 18:58:09,10.6333,-61.2833,87.33,51,20,11.01
159,Coquimbo,CL,2022-01-26 18:54:28,-29.9533,-71.3436,67.96,71,5,8.9
160,Lata,PT,2022-01-26 18:58:11,40.1629,-8.3327,55.81,74,34,3.71
161,Weyburn,CA,2022-01-26 18:58:12,49.6668,-103.8511,32.22,93,100,32.21
162,Khor,RU,2022-01-26 18:58:13,47.8861,134.9464,-6.88,100,97,0.98
163,Roald,NO,2022-01-26 18:58:15,62.5833,6.1333,41.9,87,75,17.27
164,Katsuura,JP,2022-01-26 18:54:02,35.1333,140.3,39.31,79,63,7.23
165,Paungde,MM,2022-01-26 18:58:18,18.4833,95.5,66.33,58,3,6.04
166,Qaanaaq,GL,2022-01-26 18:58:19,77.484,-69.3632,-8.72,62,98,7.38
167,Mana,GF,2022-01-26 18:58:20,5.6592,-53.7767,80.11,74,91,8.95
168,Longyearbyen,SJ,2022-01-26 18:58:22,78.2186,15.6401,10.24,61,40,11.5
169,Gat,IL,2022-01-26 18:58:24,31.61,34.7642,47.08,100,100,20.62
170,Vicosa,BR,2022-01-26 18:58:25,-20.7539,-42.8819,77.81,71,10,11.34
171,San Carlos De Bariloche,AR,2022-01-26 18:54:39,-41.1456,-71.3082,80.35,26,40,5.75
172,Emba,KZ,2022-01-26 18:58:27,48.8264,58.1442,17.4,95,100,6.33
173,Leh,IN,2022-01-26 18:58:29,34.1667,77.5833,-4.97,88,100,3.0
174,Lorengau,PG,2022-01-26 18:58:30,-2.0226,147.2712,81.95,77,100,6.02
175,Tigil,RU,2022-01-26 18:58:31,57.8,158.6667,-17.66,100,100,1.12
176,Cap Malheureux,MU,2022-01-26 18:58:33,-19.9842,57.6142,75.69,67,1,3.0
177,Miandrivazo,MG,2022-01-26 18:58:35,-19.5167,45.4667,77.52,80,0,2.86
178,Carnarvon,AU,2022-01-26 18:58:36,-24.8667,113.6333,75.27,78,40,18.41
179,Rancagua,CL,2022-01-26 18:58:36,-34.1708,-70.7444,71.35,18,0,8.19
180,Ust-Ishim,RU,2022-01-26 18:58:37,57.6935,71.1665,-3.93,100,96,3.2
181,Kasongo-Lunda,CD,2022-01-26 18:58:39,-6.4667,16.8167,70.43,96,72,0.43
182,Kiama,AU,2022-01-26 18:59:42,-34.6833,150.8667,69.01,82,93,1.01
183,Petropavlovsk-Kamchatskiy,RU,2022-01-26 18:59:15,53.0452,158.6483,3.79,56,0,6.71
184,Hamilton,US,2022-01-26 18:56:49,39.1834,-84.5333,24.08,52,0,1.99
185,Victoria,HK,2022-01-26 18:55:39,22.2855,114.1577,67.24,92,100,8.01
186,Sayyan,YE,2022-01-26 18:59:47,15.1718,44.3244,52.63,38,0,2.51
187,Ust-Tsilma,RU,2022-01-26 18:59:49,65.441,52.1498,0.39,99,86,3.4
188,Bilma,NE,2022-01-26 18:59:51,18.6853,12.9164,61.3,21,34,8.68
189,Haines Junction,CA,2022-01-26 18:59:52,60.7522,-137.5108,6.75,85,100,0.0
190,Lyantonde,UG,2022-01-26 18:59:53,-0.4031,31.1572,69.67,66,96,2.21
191,Mahenge,TZ,2022-01-26 18:59:55,-8.6833,36.7167,66.2,87,100,3.67
192,Araouane,ML,2022-01-26 18:59:57,18.9048,-3.5265,72.37,11,96,8.05
193,Bambous Virieux,MU,2022-01-26 18:59:59,-20.3428,57.7575,75.45,64,20,4.61
194,Kangaatsiaq,GL,2022-01-26 19:00:00,68.3065,-53.4641,7.45,77,100,5.97
195,Bosaso,SO,2022-01-26 19:00:04,11.2842,49.1816,73.08,64,2,5.46
196,Zarumilla,PE,2022-01-26 19:00:07,-3.5031,-80.2731,79.36,77,100,4.94
197,Laguna,US,2022-01-26 19:00:09,38.421,-121.4238,64.09,69,1,1.99
198,Xining,CN,2022-01-26 19:00:10,36.6167,101.7667,17.78,83,100,2.19
199,Tuensang,IN,2022-01-26 19:00:14,26.2833,94.8333,50.7,97,87,1.79
200,Berbera,SO,2022-01-26 19:00:15,10.4396,45.0143,75.15,63,33,6.58
201,Qaqortoq,GL,2022-01-26 19:00:17,60.7167,-46.0333,16.3,90,38,4.65
202,Skibbereen,IE,2022-01-26 19:00:19,51.55,-9.2667,48.0,93,100,14.25
203,Eregli,TR,2022-01-26 19:00:21,37.5133,34.0467,17.8,95,100,3.0
204,Sibi,PK,2022-01-26 19:00:22,29.5448,67.8764,56.95,24,0,0.89
205,Yumen,CN,2022-01-26 19:00:25,40.2833,97.2,18.86,45,34,5.99
206,Kavieng,PG,2022-01-26 19:00:27,-2.5744,150.7967,82.42,77,85,7.78
207,Bengkulu,ID,2022-01-26 19:00:28,-3.8004,102.2655,77.9,85,100,2.89
208,Rocha,UY,2022-01-26 19:00:31,-34.4833,-54.3333,73.15,93,100,1.63
209,San Juan,AR,2022-01-26 18:55:32,-31.5375,-68.5364,90.46,34,2,15.23
210,Chuy,UY,2022-01-26 19:00:33,-33.6971,-53.4616,70.23,96,100,7.4
211,Marquette,US,2022-01-26 19:00:34,46.5333,-87.6335,10.81,42,100,16.82
212,Norman Wells,CA,2022-01-26 19:00:36,65.282,-126.8329,12.79,83,90,8.52
213,San Patricio,US,2022-01-26 19:00:37,28.017,-97.5169,62.92,62,100,10.4
214,Prospect Heights,US,2022-01-26 19:00:39,42.0953,-87.9376,10.9,53,9,1.01
215,Georgetown,MY,2022-01-26 19:00:16,5.4112,100.3354,82.33,83,20,0.0
216,Borovoy,RU,2022-01-26 19:00:42,55.4333,86.0833,7.88,85,40,2.24
217,Nelson,NZ,2022-01-26 18:59:03,-41.2833,173.2833,59.7,78,21,1.01
218,Nixa,US,2022-01-26 19:00:45,37.0434,-93.2944,33.48,34,8,1.99
219,Santa Isabel Do Rio Negro,BR,2022-01-26 19:00:47,-0.4139,-65.0192,81.03,90,100,1.7
220,Quelimane,MZ,2022-01-26 19:00:49,-17.8786,36.8883,74.57,84,100,8.21
221,Capitan Bado,PY,2022-01-26 19:00:51,-23.2667,-55.5333,95.67,34,90,1.86
222,Porkhov,RU,2022-01-26 19:00:52,57.765,29.5561,22.89,91,100,6.69
223,Coihaique,CL,2022-01-26 19:00:53,-45.5752,-72.0662,79.47,29,6,2.46
224,Mokhsogollokh,RU,2022-01-26 19:00:54,61.4681,128.9203,-6.97,98,100,3.67
225,Saryg-Sep,RU,2022-01-26 19:00:55,51.5,95.6,-18.47,98,93,3.4
226,Chokurdakh,RU,2022-01-26 19:00:55,70.6333,147.9167,-29.4,98,32,10.71
227,Souillac,MU,2022-01-26 19:00:56,-20.5167,57.5167,75.58,69,20,3.44
228,Arraial Do Cabo,BR,2022-01-26 18:59:57,-22.9661,-42.0278,87.76,65,0,23.02
229,Bathsheba,BB,2022-01-26 19:00:58,13.2167,-59.5167,78.39,74,21,14.79
230,Sambava,MG,2022-01-26 19:02:02,-14.2667,50.1667,76.71,82,67,12.75
231,Tancanhuitz,MX,2022-01-26 19:02:04,21.6,-98.9667,64.71,79,100,4.07
232,Santa Fe,AR,2022-01-26 19:02:05,-31.6333,-60.7,83.01,73,79,8.01
233,Hirara,JP,2022-01-26 19:02:05,24.8,125.2833,69.8,70,55,16.62
234,Douentza,ML,2022-01-26 19:02:06,14.9951,-2.9517,75.47,10,100,7.54
235,Kahului,US,2022-01-26 19:02:07,20.8947,-156.47,75.85,76,51,11.99
236,Athni,IN,2022-01-26 19:02:08,16.7333,75.0667,69.94,40,0,10.56
237,Gizo,SB,2022-01-26 19:02:10,-8.103,156.8419,81.72,74,100,5.77
238,San Cristobal,VE,2022-01-26 19:02:10,7.7669,-72.225,83.34,47,100,0.56
239,Ramos Arizpe,MX,2022-01-26 19:01:06,25.55,-100.9667,62.82,53,30,4.29
240,Talcahuano,CL,2022-01-26 19:00:15,-36.7167,-73.1167,63.75,79,5,10.29
241,Ojinaga,MX,2022-01-26 19:02:16,29.5667,-104.4167,62.56,51,0,6.91
242,Samarai,PG,2022-01-26 19:02:17,-10.6167,150.6667,81.82,80,100,6.29
243,Goma,CD,2022-01-26 19:02:19,-1.6792,29.2228,64.51,84,91,3.69
244,Banning,US,2022-01-26 19:02:20,33.9256,-116.8764,63.68,23,25,6.44
245,Keetmanshoop,NA,2022-01-26 19:02:21,-26.5833,18.1333,92.39,18,26,7.74
246,Saint-Augustin,CA,2022-01-26 19:02:21,51.226,-58.6502,12.83,79,52,12.86
247,Nanortalik,GL,2022-01-26 19:02:22,60.1432,-45.2371,18.0,88,100,5.77
248,Dorogobuzh,RU,2022-01-26 19:02:24,54.915,33.2972,-0.74,100,100,2.86
249,Ixtapa,MX,2022-01-26 19:00:12,20.7,-105.2,85.82,37,97,6.29
250,Clyde River,CA,2022-01-26 19:02:27,70.4692,-68.5914,-14.6,96,100,18.07
251,Kurilsk,RU,2022-01-26 19:02:28,45.2333,147.8833,24.3,59,100,6.2
252,Port Hardy,CA,2022-01-26 19:00:31,50.6996,-127.4199,42.93,70,95,7.92
253,Pocos De Caldas,BR,2022-01-26 19:02:30,-21.7878,-46.5614,72.61,79,28,2.66
254,Andenes,NO,2022-01-26 19:02:31,69.3143,16.1194,30.18,86,75,11.5
255,Voyvozh,RU,2022-01-26 19:02:33,62.892,54.9635,12.49,95,100,5.91
256,Te Anau,NZ,2022-01-26 19:02:34,-45.4167,167.7167,48.15,81,92,1.16
257,Alofi,NU,2022-01-26 19:02:35,-19.0595,-169.9187,81.68,76,6,15.19
258,Moron,AR,2022-01-26 19:02:37,-34.6534,-58.6198,80.01,87,100,15.35
259,Namibe,AO,2022-01-26 19:02:38,-15.1961,12.1522,76.28,83,100,5.35
260,Gigmoto,PH,2022-01-26 19:02:39,13.7796,124.39,77.47,91,96,8.28
261,Pangnirtung,CA,2022-01-26 19:02:40,66.1451,-65.7125,-17.45,99,100,3.04
262,Limon,CR,2022-01-26 19:02:40,10.0,-83.0333,82.29,69,20,8.05
263,Inhambane,MZ,2022-01-26 19:02:42,-23.865,35.3833,79.07,86,56,10.89
264,Port Keats,AU,2022-01-26 19:02:43,-14.25,129.55,81.7,79,100,11.34
265,Soure,BR,2022-01-26 19:02:44,-0.7167,-48.5233,81.64,74,100,9.06
266,Ancud,CL,2022-01-26 19:01:50,-41.8697,-73.8203,81.23,55,0,6.2
267,Nemuro,JP,2022-01-26 19:02:45,43.3236,145.575,27.55,86,100,2.33
268,Saint-Philippe,RE,2022-01-26 19:02:47,-21.3585,55.7679,72.99,71,80,8.68
